,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
5793,657,582,465,406,424,521,600,677,446,431,309,362
5794,97,105,170,186,220,239,57,64,15,16,14,17
5795,793,596,378,306,539,743,1075,1132,576,555,721,787
5796,0,0,0,0,0,0,0,0,0,0,0,0
5797,3,1,3,2,1,3,7,14,2,4,1,0
5798,42,41,34,29,24,38,50,53,22,36,18,25
5799,1,2,2,1,1,3,3,3,1,2,5,1
5800,192,142,161,122,149,191,296,322,111,80,128,171
5801,0,0,0,0,0,0,0,0,0,0,0,0
5802,0,0,0,0,0,0,0,0,0,0,0,0
5803,0,0,0,0,0,0,0,0,0,0,0,0
5804,0,0,0,0,0,0,0,0,0,0,0,0
5805,0,0,0,0,0,0,0,0,0,0,0,0
5806,0,0,0,0,0,0,0,0,0,0,0,0
5807,0,0,0,0,0,0,0,0,0,0,0,0
5808,0,0,0,0,0,0,0,0,0,0,0,0
5809,4,4,4,4,4,7,17,23,10,9,17,13
5810,2,2,3,3,0,1,4,8,5,0,5,3
5811,2,0,0,1,0,0,0,2,1,0,6,4
5812,13,8,13,17,33,40,76,101,51,39,97,54
5813,3,2,1,1,3,0,8,8,6,8,10,8
5814,12,8,19,16,8,6,43,70,35,31,71,66
5815,4,0,0,2,0,0,1,4,0,1,1,4
5816,16,9,39,31,35,37,94,126,70,61,131,90
5817,1,4,0,1,1,2,7,15,10,5,17,15
5818,10,12,14,4,8,5,14,20,10,11,19,22
5819,2,1,2,3,0,0,2,8,0,2,2,0
5820,1,2,3,1,4,1,6,14,10,6,13,11
5821,4,6,14,13,18,9,26,46,31,25,36,48
5822,2,1,1,2,1,5,7,7,1,1,7,8
5823,0,0,1,0,0,1,3,3,0,1,3,0
5824,12,5,4,5,3,2,31,48,14,21,25,27
5825,1,0,2,0,0,0,1,7,4,0,11,3
5826,19,14,38,56,58,55,144,256,83,104,202,177
5827,0,0,0,0,0,0,0,0,0,0,0,0
5828,103,91,48,32,51,37,157,160,74,55,21,19
5829,10,3,6,2,1,1,1,2,1,0,0,2
5830,207,170,174,134,162,122,160,120,134,112,110,112
5831,0,0,0,0,0,0,0,2,3,0,2,10
5832,0,0,0,0,0,0,0,1,1,0,3,6
5833,0,1,0,0,0,0,0,2,2,4,0,1
5834,9,14,15,12,18,21,141,211,83,72,188,151
5835,1,2,2,0,0,0,1,1,2,0,1,3
5836,1,2,1,2,1,4,3,17,4,6,12,6
5837,0,0,0,0,0,0,0,0,0,0,0,0
5838,0,0,0,0,0,0,0,0,0,0,0,0
5839,0,0,0,0,0,0,0,0,0,0,0,0
5840,0,0,0,0,0,0,0,0,0,0,0,0
5841,0,0,0,0,0,0,0,0,0,0,0,0
5842,0,0,0,0,0,0,0,0,0,0,0,0
5843,0,0,0,0,0,0,0,0,0,0,0,0
5844,0,0,0,0,0,0,0,0,0,0,0,0
5845,0,0,0,0,0,0,0,0,0,0,0,0
5846,0,0,0,0,0,0,0,0,0,0,0,0
5847,0,0,0,0,0,0,0,0,0,0,0,0
5848,0,0,0,0,0,0,0,0,0,0,0,0
5849,0,0,0,0,0,0,0,0,0,0,0,0
5850,0,0,0,0,0,0,0,0,0,0,0,0
5851,0,0,0,0,0,0,0,0,0,0,0,0
5852,0,0,0,0,0,0,0,0,0,0,0,0
5853,0,0,0,0,0,0,0,0,0,0,0,0
5854,0,0,0,0,0,0,0,0,0,0,0,0
5855,0,0,0,0,0,0,0,0,0,0,0,0
5856,0,0,0,0,0,0,0,0,0,0,0,0
5857,0,0,0,0,0,0,0,0,0,0,0,0
5858,0,0,0,0,0,0,0,0,0,0,0,0
5859,0,0,0,0,0,0,0,0,0,0,0,0
5860,0,0,0,0,0,0,0,0,0,0,0,0
5861,0,0,0,0,0,0,0,0,0,0,0,0
5862,0,0,0,0,0,0,0,0,0,0,0,0
5863,0,0,0,0,0,0,0,0,0,0,0,0
5864,0,0,0,0,0,0,0,0,0,0,0,0
5865,0,0,0,0,0,0,0,0,0,0,0,0
5866,0,0,0,0,0,0,0,0,0,0,0,0
5867,0,0,0,0,0,0,0,0,0,0,0,0
5868,0,0,0,0,0,0,0,0,0,0,0,0
5869,0,0,0,0,0,0,0,0,0,0,0,0
5870,0,0,0,0,0,0,0,0,0,0,0,0
5871,0,0,0,0,0,0,0,0,0,0,0,0
5872,0,0,0,0,0,0,0,0,0,0,0,0
5873,0,0,0,0,0,0,0,0,0,0,0,0
5874,159,119,178,164,131,186,229,217,107,126,127,141
5875,550,497,473,319,177,194,573,535,403,326,143,158
5876,12,20,10,11,11,8,7,5,2,0,3,5
5877,1,1,3,2,8,2,2,0,1,1,1,1
5878,273,275,1209,722,487,489,10128,12939,28687,29442,70711,79195
5879,2,0,3,2,2,2,72,88,89,101,106,110
5880,0,0,0,0,0,0,0,0,0,0,1,0
5881,5,9,4,8,5,7,11,27,17,21,17,24
5882,0,0,0,0,0,0,0,0,0,0,0,0
5883,1,1,1,1,1,2,2,0,1,0,8,4
5884,2,1,1,1,1,3,6,10,8,5,14,15
5885,2,2,2,0,0,1,2,7,1,5,4,1
5886,0,0,2,0,0,0,1,1,2,2,3,4
5887,4,9,14,20,10,23,184,358,72,75,93,127
5888,3,2,3,2,2,2,4,6,4,3,11,6
5889,0,1,0,1,0,0,9,8,2,4,8,7
5890,5,11,19,44,36,46,89,170,69,62,107,119
5891,1,3,1,2,0,0,3,7,5,1,5,2
5892,1,0,0,0,0,1,3,12,2,1,9,6
5893,2,0,1,0,1,0,6,13,4,5,8,8
5894,1,2,2,1,3,0,5,13,4,3,2,4
5895,11,17,25,35,35,34,58,98,50,41,94,76
5896,7,7,13,23,13,27,65,194,56,53,88,99
5897,2,5,5,6,6,8,21,46,12,6,8,17
5898,50,70,143,172,288,285,560,672,401,339,728,505
5899,1,0,0,1,0,0,0,0,0,2,2,0
5900,0,0,0,1,0,0,1,0,3,4,3,0
5901,61,67,39,34,8,28,148,142,64,46,30,28
5902,196,347,571,813,595,849,2341,4125,2054,2054,1208,1080
5903,4,1,1,3,0,0,2,1,1,4,1,6
5904,1,0,0,0,0,0,2,0,1,0,0,0
5905,3,2,1,1,3,0,0,3,0,0,1,1
5906,2,0,0,1,0,0,1,3,1,1,0,0
5907,3,1,1,0,0,1,1,3,0,1,2,3
5908,4,2,2,0,0,0,1,4,0,1,3,2
5909,6,6,4,2,1,2,6,5,1,3,3,1
5910,3,4,1,5,3,2,4,3,4,2,3,6
5911,13,7,5,4,6,14,3,4,4,5,23,22
5912,7,5,6,7,9,4,0,3,0,2,1,2
5913,2,0,2,1,1,2,0,0,0,0,0,0
5914,0,0,0,0,0,0,0,0,0,0,0,0
5915,0,0,0,0,0,0,0,0,0,0,0,0
5916,0,0,0,0,0,0,0,0,0,0,0,0
5917,0,0,0,0,0,0,0,0,0,0,0,0
5918,0,0,0,1,0,0,0,1,0,0,0,0
5919,1,0,0,1,0,1,0,1,1,0,0,0
5920,1361,1371,629,557,531,582,2117,2189,1426,1431,256,285
5921,317,280,33,81,56,27,12,32,6,0,1,1
5922,0,0,1,0,0,0,0,0,0,0,0,0
5923,24,25,63,49,50,61,0,1,0,1,0,0
5924,1771,1448,2075,1873,2704,2729,62,55,15,16,11,5
5925,92,85,196,182,129,167,1,0,0,2,0,0
5926,4,7,0,6,13,9,0,2,0,0,0,0
5927,118,158,109,81,42,43,231,173,182,93,154,174
5928,14645,12152,10237,8489,9266,8937,7275,8056,4728,4011,1752,1528
5929,345,338,292,311,273,314,564,565,543,551,314,288
5930,987,800,819,849,750,764,636,637,445,344,173,165
5931,7,3,0,3,3,0,0,2,2,0,0,0
5932,0,0,0,2,0,0,0,0,0,0,0,0
5933,90,107,165,118,101,105,216,265,544,475,152,176
5934,386,340,456,408,479,393,562,530,666,508,544,578
5935,289,213,291,288,341,313,367,372,556,417,600,609
5936,7,5,12,37,16,11,187,129,1,0,0,8
5937,0,0,0,0,0,0,0,0,0,0,0,0
5938,0,0,0,0,0,0,0,0,0,0,0,0
5939,0,0,0,0,0,0,0,0,0,0,0,0
5940,0,0,0,0,0,0,0,0,0,0,0,0
